trialname,Right_AnkleDorsiFlexion_min,Right_AnkleDorsiFlexion_max,Right_AnkleDorsiFlexion_rom,Right_AnkleDorsiFlexion_td,Right_AnkleDorsiFlexion_to,Right_AnkleInversion_min,Right_AnkleInversion_max,Right_AnkleInversion_rom,Right_AnkleInversion_td,Right_AnkleInversion_to,Right_AnkleInternalRotation_min,Right_AnkleInternalRotation_max,Right_AnkleInternalRotation_rom,Right_AnkleInternalRotation_td,Right_AnkleInternalRotation_to,Right_KneeFlexion_min,Right_KneeFlexion_max,Right_KneeFlexion_rom,Right_KneeFlexion_td,Right_KneeFlexion_to,Right_KneeAdduction_min,Right_KneeAdduction_max,Right_KneeAdduction_rom,Right_KneeAdduction_td,Right_KneeAdduction_to,Right_KneeInternalRotation_min,Right_KneeInternalRotation_max,Right_KneeInternalRotation_rom,Right_KneeInternalRotation_td,Right_KneeInternalRotation_to,Right_HipFlexion_min,Right_HipFlexion_max,Right_HipFlexion_rom,Right_HipFlexion_td,Right_HipFlexion_to,Right_HipAdduction_min,Right_HipAdduction_max,Right_HipAdduction_rom,Right_HipAdduction_td,Right_HipAdduction_to,Right_HipInternalRotation_min,Right_HipInternalRotation_max,Right_HipInternalRotation_rom,Right_HipInternalRotation_td,Right_HipInternalRotation_to
P05_Midt_0019,-29.3365423094667,5.37981741236698,34.7163597218337,0.721122252794786,-29.3365423094667,-6.5359108403921,-0.725554928524263,5.81035591186783,-1.17766497661082,-4.22121496935637,1.33217635408784,8.13720979840876,6.80503344432092,7.57532561728179,3.95700548251744,1.89070876821556,46.5359608556611,44.6452520874456,1.90522093145696,46.5359608556611,-0.373450530291173,2.79898955430475,3.17244008459593,0.263985172558362,1.77871306613549,-7.10672972050792,6.21951882465833,13.3262485451663,-4.80430204152818,-2.66734473323769,-12.0701090479343,30.7385398317276,42.8086488796619,29.0876460425696,-3.25507437314218,-6.16050085648061,8.65361056446818,14.8141114209488,-3.67501212396959,-6.16050085648061,-4.86112905141503,3.11322834944059,7.97435740085562,-3.49425219866205,-2.9576377774004
P05_Midt_0020,-29.6146926631283,5.03434722988553,34.6490398930138,1.27816233520441,-29.6146926631283,-6.6185666808938,-0.541037434484366,6.07752924640944,-1.15379986092243,-3.70199581857891,1.2408378605522,8.36799470453895,7.12715684398676,7.60470258560234,4.54344551410172,2.27373235335942,47.5512571424369,45.2775247890775,2.27373235335942,47.5512571424369,-0.38981360134245,2.78026621052033,3.17007981186278,0.139042785069173,1.91090474249012,-7.98147364195113,6.58757651406059,14.5690501560117,-5.5381820504253,-2.36993914779216,-11.9891139816874,31.0401348982793,43.0292488799667,30.6365276250395,-2.51386717819061,-6.74860643194491,9.36002613225792,16.1086325642028,-3.56090148943588,-6.74860643194491,-4.83684488399563,3.08388163886763,7.92072652286326,-2.77705042929518,-3.16645739178053
P05_Midt_0021,-28.7042902842273,5.49278440095134,34.1970746851786,2.08113200186711,-28.7042902842273,-6.20662043411682,-0.305205525718838,5.90141490839798,-0.951082585705174,-3.77221307344384,1.70304653901742,8.66981389754829,6.96676735853088,7.85964372068111,4.46398040661035,2.50231129729808,46.6613231899032,44.1590118926051,2.59013819557525,46.6613231899032,-0.295614656912232,2.69740751386048,2.99302217077271,0.459119667570347,1.85585995868145,-7.9405965675669,6.83583391804328,14.7764304856102,-4.95464187296125,-2.03382041037299,-11.9277058354282,31.3704636725401,43.2981695079683,29.9791725794707,-3.0258852318268,-5.90817458902622,9.32492315229819,15.2330977413244,-2.64975149676337,-5.90817458902622,-5.22984304516681,2.68097745930347,7.91082050447028,-4.17450455278655,-2.96123089880259
P05_Midt_0022,-29.1350311763682,4.68187134572442,33.8169025220926,1.46191134959126,-29.1350311763682,-5.77208943458077,-0.475683432720084,5.29640600186069,-0.92553795729904,-3.62290872688578,2.19843023481745,8.45188818299824,6.25345794818079,7.89279647207525,4.63366021988106,2.0923804770118,46.9203194999054,44.8279390228936,2.0923804770118,46.9203194999054,-0.480737126982674,2.86789825570701,3.34863538268969,0.245238529262885,2.0308633812153,-7.57181064160416,7.04975367514897,14.6215643167531,-5.89426503955437,-2.08361558574246,-11.8121704150267,31.2037710649695,43.0159414799961,30.265276646727,-2.29887325912537,-5.76096963656344,8.9464639182728,14.7074335548362,-3.13724373920591,-5.76096963656344,-5.13910255176881,2.65601902797979,7.7951215797486,-3.08721962531564,-3.2091537078139
P05_Midt_0023,-29.7161605108141,5.05143026654157,34.7675907773557,1.54910255083015,-29.7161605108141,-6.40161848571712,-0.693832219965611,5.70778626575151,-1.14368674454457,-4.24056969597684,1.48103302366241,8.1769594260316,6.69592640236919,7.61786771510862,3.91944360959397,2.00007599828843,46.7814649239957,44.7813889257073,2.00007599828843,46.7814649239957,-0.372845739371083,2.66855677276216,3.04140251213324,0.197211149304862,1.61598372815637,-7.97307150010302,6.60999235818598,14.583063858289,-5.8510879727689,-2.43454847846314,-11.607048608772,32.2246610490006,43.8317096577726,30.6238588123188,-2.64407229559598,-5.88583459124582,8.82033781984644,14.7061724110923,-2.96511456202177,-5.88583459124582,-5.18825328788191,2.73917307526697,7.92742636314888,-3.25901064144318,-3.258304443927
P06_Base_0002,-19.4231819908287,13.2864672262552,32.7096492170839,-0.399317829231675,-19.4231819908287,-5.36378448417083,-0.52517268829763,4.8386117958732,-1.0867542338258,-3.94236917559409,0.707621129344177,6.62903909812765,5.92141796878347,5.92016334998482,2.31719666791895,-2.06325480328659,53.0001293721288,55.0633841754154,-2.06325480328659,53.0001293721288,0.238039117874754,4.50173559624977,4.26369647837502,0.542778409358375,2.04689272558234,-13.7357455248899,8.4460021622954,22.1817476871854,-13.5886933017861,-1.26303870299484,-11.1268806307972,29.3122363583336,40.4391169891308,27.4294591250788,1.9472223727157,-12.0348154676165,5.60403529214375,17.6388507597602,-5.37979617948417,-12.0348154676165,-4.74864137621824,0.82444475408474,5.57308613030298,-3.55729992885489,-2.94306270907623
P06_Base_0003,-21.4785475527987,14.1309098068895,35.6094573596882,-3.0140656774123,-21.4785475527987,-2.57154972229384,1.12284138894823,3.69439111124207,1.12284138894823,-2.51168260649383,-3.19238082167811,1.47122322108205,4.66360404276016,1.47122322108205,-3.12061000021246,-3.19440321673044,53.7170028072137,56.9114060239442,-3.19440321673044,53.7170028072137,0.345050136425525,5.32613282007034,4.98108268364481,0.345050136425525,3.16533184610926,-15.6408159100274,5.36107391528748,21.0018898253149,-15.6408159100274,-5.51004991423153,-13.3262451053972,26.7553878227754,40.0816329281726,24.0293090244088,-0.426775587094175,-13.166633760697,2.82193397566593,15.9885677363629,-6.96328389290251,-13.166633760697,-6.32510613752701,-0.729315660366742,5.59579047716026,-4.11307050358194,-6.22206517165868
P06_Mid_0017,-21.5939351244795,13.1957334081655,34.789668532645,-0.13266328568758,-21.5939351244795,-2.87831341244022,0.699438488449623,3.57775190088984,0.660797888165334,-2.19858138797121,-3.55760199444404,0.909953248539266,4.46755524298331,0.859293102330136,-2.74333322324784,-1.65667288209868,50.5437098123247,52.2003826944234,-1.65667288209868,50.5437098123247,0.607368436553207,5.97743302024811,5.3700645836949,0.941125897130785,2.2540068856753,-15.7805075828345,7.09433819464122,22.8748457774757,-15.3371300529728,-1.90272059012458,-13.9419324729045,30.7593937606942,44.7013262335988,28.044743814082,-2.81570455093733,-15.3495216412745,3.44445656441663,18.7939782056912,-7.35729259650649,-15.3495216412745,-7.5510816137235,-0.2004436964304,7.3506379172931,-6.38801023098898,-6.26280990911934
P06_Mid_0019,-21.4917240897639,12.180742999786,33.6724670895499,-0.570039035298479,-21.4917240897639,-2.73754130581341,0.984967102464027,3.72250840827744,0.878341164065894,-2.56332888714893,-3.38839720241551,1.28707512340009,4.6754723258156,1.14586578800169,-3.17656470256754,-1.20539724053615,50.0405766769822,51.2459739175183,-1.20539724053615,50.0405766769822,0.577431550866035,6.33905566019749,5.76162410933145,1.02423515937497,2.22845443429812,-15.2359417656616,5.85944973619098,21.0953915018525,-15.0222974652412,-2.79420452443602,-14.3043827083423,30.9374022146213,45.2417849229636,28.2973469322735,-3.32941796738177,-14.6452787685234,2.71805556802459,17.363334336548,-8.07283159354697,-14.6452787685234,-7.26095858516151,-0.463715642703759,6.79724294245775,-6.26380736001596,-6.63254250681549
P06_Mid_0020,-22.0721244533158,12.834116674743,34.9062411280588,1.13078556096024,-22.0721244533158,-2.74613465435786,0.629878100048298,3.37601275440616,0.604639030866232,-2.56460723400962,-3.39935140196562,0.820152543722787,4.21950394568841,0.787390133072559,-3.17977475872768,-0.996698887519754,49.910442732172,50.9071416196917,-0.996698887519754,49.910442732172,0.541693023099966,5.67962034642585,5.13792732332589,0.997455758265574,2.01223890049514,-14.7292688424859,6.5823927359984,21.3116615784843,-14.2942628002342,-2.28979350531101,-14.3698184409355,29.8390587934288,44.2088772343643,27.9487571907377,-3.22579468938079,-14.6237379389721,2.97312321965545,17.5968611586276,-7.41855487992756,-14.6237379389721,-6.85385920810397,-0.238705936637839,6.61515327146613,-5.53085266316277,-5.8901323263857
