video_name,frame,person_idx,nose_x,nose_y,nose_c,neck_x,neck_y,neck_c,right_shoulder_x,right_shoulder_y,right_shoulder_c,right_elbow_x,right_elbow_y,right_elbow_c,right_wrist_x,right_wrist_y,right_wrist_c,left_shoulder_x,left_shoulder_y,left_shoulder_c,left_elbow_x,left_elbow_y,left_elbow_c,left_wrist_x,left_wrist_y,left_wrist_c,mid_hip_x,mid_hip_y,mid_hip_c,right_hip_x,right_hip_y,right_hip_c,right_knee_x,right_knee_y,right_knee_c,right_ankle_x,right_ankle_y,right_ankle_c,left_hip_x,left_hip_y,left_hip_c,left_knee_x,left_knee_y,left_knee_c,left_ankle_x,left_ankle_y,left_ankle_c,right_eye_x,right_eye_y,right_eye_c,left_eye_x,left_eye_y,left_eye_c,right_ear_x,right_ear_y,right_ear_c,left_ear_x,left_ear_y,left_ear_c,left_big_toe_x,left_big_toe_y,left_big_toe_c,left_small_toe_x,left_small_toe_y,left_small_toe_c,left_heel_x,left_heel_y,left_heel_c,right_big_toe_x,right_big_toe_y,right_big_toe_c,right_small_toe_x,right_small_toe_y,right_small_toe_c,right_heel_x,right_heel_y,right_heel_c
P11_Med_Side_2,11,0,0.0,0.0,0.0,1024.54,688.64,0.861742,1045.27,684.642,0.935876,1057.72,717.674,0.807534,1049.33,742.623,0.45813,1007.84,688.732,0.931261,991.289,734.201,0.801127,979.115,763.223,0.660804,1028.68,750.969,0.882674,1041.18,750.907,0.952242,1041.0,808.979,0.939226,1036.89,862.734,0.836448,1012.09,750.998,0.933799,1012.17,809.049,0.942043,1012.26,862.799,0.862436,0.0,0.0,0.0,0.0,0.0,0.0,1041.02,667.981,0.477388,1012.0,672.034,0.592745,1016.35,871.121,0.588362,1012.21,871.095,0.583548,1012.28,875.039,0.78074,1041.01,875.124,0.607517,1041.19,875.05,0.596353,1032.83,871.109,0.76507
P11_Med_Side_2,11,1,1206.73,680.358,0.960404,1202.82,705.257,0.931289,1177.96,705.262,0.926988,1169.61,730.068,0.794275,1177.97,738.369,0.791763,1215.3,709.177,0.886596,1215.14,738.409,0.863535,1198.58,742.375,0.849274,1198.64,763.354,0.842758,1178.1,759.202,0.864487,1177.84,808.688,0.93706,1177.88,842.202,0.96342,1207.08,767.478,0.905188,1202.73,808.682,0.830708,1186.14,846.172,0.834105,1202.64,676.354,0.935998,1206.99,676.383,0.961784,1190.25,676.443,0.726577,1211.06,680.2,0.818599,1178.0,862.743,0.693065,1190.32,858.632,0.639341,1186.17,846.296,0.664412,1177.73,850.513,0.771949,1173.64,850.415,0.786561,1177.93,846.246,0.758052
P11_Med_Side_2,12,0,1206.77,680.341,0.964225,1202.78,705.154,0.920447,1177.97,705.165,0.920207,1169.61,725.998,0.811606,1182.08,738.3,0.798174,1215.18,705.24,0.892655,1211.25,734.345,0.857375,1198.53,738.445,0.812558,1198.55,759.138,0.832507,1178.03,755.034,0.871171,1177.75,804.68,0.899967,1177.73,842.093,0.950209,1207.04,763.268,0.887216,1202.83,804.673,0.850571,1182.21,842.235,0.860704,1202.69,676.34,0.941638,1207.01,676.372,0.95278,1190.29,676.438,0.796531,1211.02,676.453,0.730279,1178.08,862.708,0.710507,1194.42,854.595,0.673048,1182.16,846.151,0.691423,1173.9,850.421,0.80461,1173.54,850.326,0.810286,1177.75,846.134,0.741412
P11_Med_Side_2,12,1,0.0,0.0,0.0,1028.61,688.673,0.860039,1045.39,684.674,0.916877,1061.81,717.77,0.78202,1049.37,742.708,0.432576,1007.85,688.76,0.925516,987.264,734.247,0.82456,979.032,759.102,0.783667,1028.7,750.951,0.88746,1041.21,750.896,0.95287,1041.0,808.96,0.944973,1036.98,858.706,0.84987,1012.08,750.981,0.93714,1012.18,809.023,0.942779,1016.15,862.748,0.858997,0.0,0.0,0.0,0.0,0.0,0.0,1041.03,668.031,0.503513,1011.99,672.027,0.644929,1016.31,871.088,0.612305,1012.17,871.095,0.613274,1016.26,871.123,0.789242,1040.95,875.039,0.575704,1041.18,871.094,0.574638,1036.85,871.042,0.776445
P11_Med_Side_2,13,0,1202.81,680.32,0.949032,1202.84,705.203,0.929299,1178.01,705.229,0.91716,1173.5,726.05,0.806883,1177.95,738.375,0.79575,1215.28,705.329,0.887589,1211.26,738.376,0.867072,1194.52,742.354,0.84358,1198.67,763.325,0.84444,1178.13,759.173,0.861415,1177.79,804.845,0.928297,1177.81,842.218,0.96232,1207.09,767.444,0.90362,1202.72,804.816,0.826404,1182.15,846.137,0.853229,1198.62,676.331,0.923822,1206.87,676.352,0.965209,1186.29,676.445,0.634134,1210.99,676.42,0.893413,1178.0,862.728,0.700565,1190.28,854.606,0.657861,1182.19,846.29,0.666578,1177.73,850.531,0.75805,1173.63,850.452,0.772844,1177.86,846.288,0.742643
P11_Med_Side_2,13,1,0.0,0.0,0.0,1028.62,688.647,0.857836,1045.39,684.634,0.912457,1057.67,717.643,0.756195,1045.39,742.729,0.359926,1007.85,688.715,0.9252,987.299,734.325,0.819075,979.003,759.121,0.752841,1032.7,751.001,0.88161,1041.24,750.947,0.94057,1041.0,809.04,0.939731,1040.82,862.735,0.862903,1012.11,751.028,0.924413,1012.21,809.02,0.929799,1016.15,862.747,0.855612,0.0,0.0,0.0,0.0,0.0,0.0,1041.0,667.986,0.497829,1012.02,671.981,0.65895,1016.32,871.047,0.613701,1012.21,871.048,0.609603,1016.25,871.102,0.780373,1041.02,875.063,0.593176,1045.06,871.109,0.594007,1036.9,871.107,0.792808
P11_Med_Side_2,14,0,1206.66,680.329,0.948146,1202.78,705.195,0.921638,1177.97,705.206,0.919453,1169.57,725.941,0.796435,1178.06,738.353,0.793616,1215.19,705.306,0.891529,1211.3,738.32,0.854724,1198.64,742.336,0.832562,1198.57,763.275,0.831452,1178.07,759.14,0.864412,1177.83,808.728,0.943473,1177.82,846.043,0.96418,1207.02,767.398,0.89289,1202.68,808.704,0.83385,1182.14,846.228,0.856191,1198.68,676.339,0.923563,1206.91,676.364,0.957649,1186.27,676.447,0.708508,1210.98,676.45,0.841887,1177.98,862.852,0.710512,1190.25,858.708,0.656484,1182.18,846.381,0.66453,1177.75,854.54,0.768167,1173.63,854.457,0.780352,1177.87,846.354,0.747747
P11_Med_Side_2,14,1,0.0,0.0,0.0,1024.53,688.714,0.85777,1045.31,684.683,0.918409,1053.61,717.634,0.773866,1045.39,742.685,0.422201,1007.8,692.76,0.918127,991.274,734.305,0.830893,978.938,763.311,0.839332,1032.7,751.025,0.882582,1041.21,750.956,0.944918,1041.01,808.986,0.942311,1036.97,858.698,0.867002,1012.11,754.977,0.91927,1012.23,809.031,0.943525,1016.13,858.733,0.869419,0.0,0.0,0.0,0.0,0.0,0.0,1040.97,671.941,0.526771,1011.93,672.065,0.685452,1016.36,871.067,0.613928,1012.22,871.056,0.600637,1016.18,871.075,0.784622,1041.02,875.047,0.596291,1041.23,871.104,0.598996,1036.8,871.032,0.797851
P11_Med_Side_2,15,0,1206.68,680.337,0.948029,1202.8,705.158,0.924811,1177.95,705.183,0.921523,1169.57,721.953,0.802285,1178.03,734.28,0.791447,1215.23,705.246,0.888366,1215.16,734.265,0.833814,1198.58,738.402,0.827453,1198.62,759.138,0.846871,1178.07,755.03,0.880315,1177.74,804.721,0.91492,1177.74,842.219,0.954369,1207.09,763.28,0.89645,1202.78,804.761,0.847149,1182.1,846.136,0.865222,1202.59,676.348,0.926465,1206.92,676.369,0.955234,1186.28,676.44,0.732951,1210.97,676.435,0.812302,1178.02,862.819,0.695432,1190.35,858.686,0.653354,1182.08,846.292,0.667175,1177.75,854.504,0.774065,1173.6,850.522,0.78866,1177.78,846.298,0.735052
P11_Med_Side_2,15,1,0.0,0.0,0.0,1028.56,684.7,0.862861,1045.39,684.598,0.929048,1061.75,717.679,0.76264,1045.43,742.757,0.391994,1007.79,688.692,0.930335,991.273,734.281,0.831358,978.814,763.37,0.839832,1032.8,750.975,0.894266,1045.05,750.916,0.951905,1041.02,808.952,0.944327,1037.01,854.583,0.877686,1012.14,750.99,0.92828,1012.21,808.942,0.934971,1016.17,854.513,0.870169,0.0,0.0,0.0,0.0,0.0,0.0,1041.0,667.967,0.445479,1011.93,671.998,0.692961,1016.32,866.968,0.626446,1012.19,866.948,0.60488,1016.22,866.915,0.757782,1041.0,871.167,0.602555,1041.2,871.041,0.605297,1036.83,866.995,0.792148
